"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g4689","g4689",1.74607830890905,-0.190957128099517,2.86037101991738,0.0041004156403204,0.0185846773657437
"g13491","g13491",1.47259423153736,1.49722258614826,2.85739309475412,0.00412972073540133,0.0187120882006202
"g13277","g13277",-2.17697953675661,7.17662810037533,-2.85594408287869,0.00414406837637014,0.0187716715788582
"g19884","g19884",3.51982513070524,-0.540685146163393,2.85652374731953,0.00415017127466643,0.0187938845385284
"g1133","g1133",1.43710915737637,7.35513884935563,2.85078602223925,0.00419544847361657,0.0189934326767742
"g22304","g22304",1.54010914253476,1.57444212621786,2.84580589764709,0.0042456437320173,0.0192151239422198
"g21853","g21853",1.41245910090243,2.31397073104918,2.84462851370496,0.0042575934290003,0.01926364371037
"g19801","g19801",-1.42055875270941,1.73008111903619,-2.84334342430418,0.00427067255510903,0.0193172441432103
"g2745","g2745",-1.82802836145072,9.53112441722648,-2.84005289201468,0.00430433579698989,0.019463893521703
"g9482","g9482",1.67855434120173,3.59055278528561,2.83926478250784,0.00431243534396532,0.0194948944753298
"g3965","g3965",-2.00926304282603,5.93903123576101,-2.83842718492,0.00432106229658721,0.0195282610652858
"g10889","g10889",1.38334562161629,2.3535905567636,2.83789375575061,0.00432656027060183,0.0195474716405715
"g3108","g3108",-1.24303548057396,7.13673953377573,-2.83700811045398,0.00433570781735221,0.0195831552222943
"g4172","g4172",-1.79670407321832,0.6642618366882,-2.83624475248366,0.00434360706563168,0.019613181659362
"g7063","g7063",1.2592190662464,2.9088548216026,2.83473356521228,0.00435928467498386,0.0196783032001791
"g6018","g6018",1.24288090655609,4.33016936362696,2.83319332234168,0.00437531883181366,0.0197449962715277
"g10029","g10029",1.58895826756138,2.52546185217689,2.83258668944183,0.00438164925162951,0.0197678724009181
"g21551","g21551",2.93768132203057,-1.04166131555932,2.8315594916154,0.00439464719182416,0.0198208073201324
"g15954","g15954",1.81753270908153,1.70778291359654,2.83100246466896,0.00439822216092394,0.0198312243751901
"g16917","g16917",1.59921804151583,2.81090316528043,2.83032099152231,0.00440536916200154,0.0198577368064567
"g2","g2",1.62126190505978,2.70915734539255,2.83008111661263,0.00440788753546509,0.0198633758894032
"g14508","g14508",2.88665885998707,-2.06213693604892,2.829543388678,0.00441539624334812,0.0198914933377393
"g22843","g22843",1.31253450453934,7.21631096611651,2.82897116433432,0.00441955829299206,0.0199045221626622
"g7048","g7048",1.52593368899452,2.47179019815435,2.82620220907975,0.00444880023478694,0.0200304642573444
"g20240","g20240",1.46956746020422,5.29579590131499,2.82486790228792,0.00446295651753155,0.0200884312174819
"g22388","g22388",-1.27705053577298,5.87864711514085,-2.82315145646685,0.00448122965045176,0.0201648901267673
"g21294","g21294",3.52626641828002,0.0719958940434643,2.8222436141728,0.00450508901848282,0.0202664351856146
"g22054","g22054",-2.07386515826358,4.25911581630186,-2.81952294614336,0.00452009828890255,0.0203252446042031
"g22572","g22572",1.75428026426655,0.262462366759015,2.81946117319273,0.00452075561093932,0.0203252446042031
"g14176","g14176",1.66943938356727,2.80067232870195,2.8188914054146,0.00452688749014494,0.0203469766656271
"g23419","g23419",1.7197466999921,-1.56077738019109,2.81866879272336,0.00452928543037969,0.0203519181623684
"g19849","g19849",-1.75136913069471,-0.278508561021401,-2.81848527594607,0.00453126314867394,0.0203549691399159
"g14060","g14060",1.77753640460298,0.447074959370061,2.81734986472807,0.00454351723317908,0.02040416779244
"g17533","g17533",1.32149826951337,6.96533452942065,2.81617699241216,0.00455620834062862,0.0204553002929454
"g18753","g18753",1.80365950142865,-1.28559910638436,2.81573203477784,0.0045610319431662,0.0204710921091764
"g15183","g15183",-2.73807052846698,6.24104662812871,-2.81521307513439,0.00456769831275796,0.0204951433311925
"g3134","g3134",-2.0037456661552,-1.58790106238777,-2.81358396517066,0.00458438846453652,0.0205641443631027
"g9509","g9509",1.37181598060913,6.6225635550704,2.81248301897143,0.00459639835702748,0.0206121177252337
"g22662","g22662",1.70613157116618,3.23646366206376,2.81173005577844,0.00460463147284758,0.0206431318861385
"g3788","g3788",1.65315385089965,0.258246650855079,2.81156973929337,0.00460638619666717,0.0206450931828323
"g118","g118",4.47052142928933,-0.593521969824336,2.81774281625331,0.00461152712372485,0.020662225446009
"g15125","g15125",-1.26362128740484,6.95539684990703,-2.80970512349575,0.00462684167356767,0.0207249184194987
"g17037","g17037",-1.18675146979403,4.97382499679255,-2.80870088921571,0.00463789395012027,0.0207684891086386
"g19662","g19662",1.67935842113852,2.08446561154104,2.80612475982141,0.00466636001094093,0.0208899915599763
"g12391","g12391",2.31791911173547,1.30978632307191,2.80546894144073,0.00467371346839017,0.020916936376379
"g11404","g11404",1.37205116527194,2.26667621027526,2.80522986622874,0.00467628702267916,0.0209224797335
"g20221","g20221",3.46525420168247,3.53454335924387,2.80396286822686,0.00470373396370489,0.0210392758028387
"g9758","g9758",-1.79748935812265,1.95940149906272,-2.80195960480506,0.0047127337133918,0.0210735165449329
"g14796","g14796",1.88240161260815,0.16916447375739,2.80141734727719,0.00471880338611157,0.0210946393241662
"g22019","g22019",-4.21724659204515,-2.088263510255,-2.80562004318335,0.00472622183294615,0.0211217778123082
"g12183","g12183",1.63251414049258,1.29997569892542,2.80046269063948,0.00472950567761141,0.0211304283025096
"g1019","g1019",-1.78944559438709,-1.02194988232156,-2.79854754328201,0.00475104604978385,0.0212206169103056
"g2293","g2293",-2.25145337018355,-0.041844473632217,-2.79805202628119,0.00475668252842292,0.0212397393925847
"g20591","g20591",-1.50816308751106,1.02312382590848,-2.79763938252266,0.00476129259152949,0.0212542690934325
"g20389","g20389",1.31566967594419,6.83663340052058,2.79610266780883,0.00477867862383822,0.021325805828991
"g23365","g23365",-1.21207978614835,5.4930932229308,-2.79119422824196,0.00483461329703732,0.02156928386122
"g6602","g6602",2.22804064555914,3.39163114785765,2.79011135485454,0.00484707739340269,0.0216187376171885
"g11092","g11092",2.03571118554462,0.300300704004673,2.78733955339278,0.00487897724658973,0.0217548251453203
"g15906","g15906",-1.79621988015659,3.05050535518779,-2.78685795075817,0.00488454079498558,0.0217734379635407
"g9430","g9430",1.70180673934984,-0.284555924243931,2.78447170381284,0.00491222244234767,0.0218906062948294
"g7860","g7860",-2.39070149336771,-0.760099966924897,-2.78309913396745,0.00492837249624008,0.0219563337503044
"g17579","g17579",-1.16131267222742,7.57755505284856,-2.78248834497083,0.00493534287912446,0.0219811392283369
"g22333","g22333",1.29891356761175,4.48306889132885,2.78166064357351,0.00494502186428919,0.022017990817899
"g14813","g14813",1.57498074715988,5.5071381994708,2.78068078947498,0.00495650320772901,0.02206284429842
"g274","g274",-1.98907812404966,-0.259006902666106,-2.78031438046392,0.00496080628283196,0.0220747263106392
"g182","g182",3.96307986072292,-0.275573665514077,2.78365385112727,0.00496198945909412,0.0220747263106392
"g8612","g8612",1.44529538282991,4.07110222221192,2.77961289794133,0.00496904471104003,0.0220998404529314
"g11238","g11238",-1.4995097718864,0.805322718205593,-2.77714056146935,0.00499819505143063,0.0222231804371836
"g4193","g4193",-1.40046094431122,3.30439718020318,-2.77659478223596,0.00500465178131276,0.0222455778129651
"g3125","g3125",-2.15985034036439,0.365850039199695,-2.77602859337912,0.00501138194676423,0.0222691775592957
"g4693","g4693",-1.28940514713906,5.4204196584265,-2.77497888379265,0.00502381442086019,0.0223180962069563
"g10056","g10056",2.19415852945311,2.18374053535737,2.77447659278558,0.00502981844230129,0.0223384370774123
"g8940","g8940",-1.8332549375482,6.49128816478818,-2.77172557413476,0.00506260490041341,0.0224776789246967
"g4076","g4076",-1.89550249221941,5.72395894826067,-2.77066444098259,0.00507531855385945,0.0225277450282184
"g17137","g17137",1.77396187567228,-0.917454637284491,2.76892973323552,0.00509616540089348,0.0226138732526058
