"","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale","gene"
"g10169",0,0,0,0,0,"g10169"
"g1017",0,0,0,0,0,"g1017"
"g10170",0,0,0,0,0,"g10170"
"g10172",0,0,0,0,-1,"g10172"
"g10173",0,0,0,0,-1,"g10173"
"g10175",0,0,0,0,-1,"g10175"
"g10176",0,0,-1,0,-1,"g10176"
"g10177",0,-1,-1,0,-1,"g10177"
"g10178",0,0,0,0,0,"g10178"
"g10179",0,0,1,0,0,"g10179"
"g10180",0,-1,-1,0,-1,"g10180"
"g10181",0,0,0,0,0,"g10181"
"g10182",0,0,0,0,0,"g10182"
"g10183",0,0,0,0,0,"g10183"
"g10184",0,0,0,0,0,"g10184"
"g10185",0,0,0,0,0,"g10185"
"g10186",0,0,0,0,0,"g10186"
"g10187",0,0,0,0,0,"g10187"
"g10189",0,0,0,0,0,"g10189"
"g1019",0,0,1,0,0,"g1019"
"g10190",0,0,0,0,0,"g10190"
"g10192",0,0,0,0,0,"g10192"
"g10194",0,0,0,0,0,"g10194"
"g10195",0,0,0,0,0,"g10195"
"g102",0,0,0,0,0,"g102"
"g1020",0,0,0,0,0,"g1020"
"g10200",0,1,1,0,1,"g10200"
"g10201",0,0,-1,0,0,"g10201"
"g10202",0,0,-1,0,-1,"g10202"
"g10203",0,1,1,0,1,"g10203"
"g10204",0,0,0,0,0,"g10204"
"g10205",0,0,0,0,0,"g10205"
"g10206",0,0,0,0,0,"g10206"
"g10207",0,0,0,0,0,"g10207"
"g10208",0,1,1,0,0,"g10208"
"g10209",0,0,0,0,0,"g10209"
"g1021",0,0,0,0,0,"g1021"
"g10210",0,0,0,0,0,"g10210"
"g10211",0,0,0,0,0,"g10211"
"g10212",0,0,0,0,0,"g10212"
"g10213",0,1,1,0,1,"g10213"
"g10214",0,0,0,0,0,"g10214"
"g10215",0,0,0,0,0,"g10215"
"g10218",0,0,0,0,0,"g10218"
"g10219",0,0,0,0,0,"g10219"
"g1022",0,1,1,0,1,"g1022"
"g10220",0,0,0,0,0,"g10220"
"g10221",0,0,0,0,0,"g10221"
"g10222",0,0,0,0,0,"g10222"
"g10223",0,1,1,0,1,"g10223"
"g10224",0,0,0,0,0,"g10224"
"g10225",0,0,0,0,0,"g10225"
"g10226",0,0,0,0,0,"g10226"
"g10227",0,0,0,0,0,"g10227"
"g10228",0,0,0,0,0,"g10228"
"g10229",0,0,0,0,0,"g10229"
"g1023",0,0,0,0,0,"g1023"
"g10230",0,0,0,0,0,"g10230"
"g10231",0,0,0,0,0,"g10231"
"g10232",0,0,0,0,0,"g10232"
"g10233",-1,0,0,0,1,"g10233"
"g10234",0,0,0,0,-1,"g10234"
"g10235",0,0,0,0,0,"g10235"
"g10236",0,-1,-1,0,-1,"g10236"
"g10237",0,0,0,0,0,"g10237"
"g10238",0,-1,-1,0,-1,"g10238"
"g10239",0,0,0,0,0,"g10239"
"g1024",0,0,0,0,0,"g1024"
"g10240",0,0,1,0,0,"g10240"
"g10241",0,1,1,0,1,"g10241"
"g10242",0,0,1,0,0,"g10242"
"g10243",0,0,0,0,0,"g10243"
"g10244",0,0,0,0,0,"g10244"
"g10245",0,0,0,0,0,"g10245"
"g10246",0,0,0,0,0,"g10246"
"g10247",0,0,0,0,0,"g10247"
"g10248",0,0,0,0,0,"g10248"
"g1025",0,0,0,0,0,"g1025"
"g10252",0,0,0,0,0,"g10252"
"g10255",0,0,0,0,0,"g10255"
"g10256",0,0,0,0,0,"g10256"
"g10257",0,0,0,0,0,"g10257"
"g10259",0,0,0,0,0,"g10259"
"g1026",0,0,0,0,0,"g1026"
"g10261",0,0,0,0,0,"g10261"
"g10262",0,0,0,0,0,"g10262"
"g10263",0,0,0,0,0,"g10263"
"g10264",0,0,0,0,0,"g10264"
"g10265",0,1,1,0,1,"g10265"
"g10266",0,0,0,0,0,"g10266"
"g10267",0,0,0,0,0,"g10267"
"g10268",0,0,0,0,0,"g10268"
"g10269",0,0,0,0,0,"g10269"
"g1027",0,1,1,0,1,"g1027"
"g10270",0,0,0,0,0,"g10270"
"g10272",0,0,0,0,0,"g10272"
"g10276",0,0,0,0,0,"g10276"
"g10277",0,-1,0,0,-1,"g10277"
"g10278",0,0,0,0,0,"g10278"
"g10279",1,0,1,1,0,"g10279"
"g1028",0,0,0,0,0,"g1028"
"g10280",0,0,0,0,0,"g10280"
"g10281",0,-1,0,0,-1,"g10281"
"g10282",0,0,0,0,0,"g10282"
"g10283",0,0,0,0,0,"g10283"
"g10284",0,0,0,0,0,"g10284"
"g10289",0,0,1,0,0,"g10289"
"g1029",0,0,0,0,0,"g1029"
"g10291",0,0,0,0,0,"g10291"
"g10292",0,0,0,0,0,"g10292"
"g10293",0,0,0,0,0,"g10293"
"g10294",0,0,0,0,0,"g10294"
"g10296",0,0,0,0,0,"g10296"
"g10297",0,0,0,0,0,"g10297"
"g10298",0,0,0,0,0,"g10298"
"g10299",0,1,1,0,1,"g10299"
"g103",0,0,0,0,0,"g103"
"g1030",0,0,0,0,0,"g1030"
"g10300",0,1,1,0,1,"g10300"
"g10301",0,0,0,0,0,"g10301"
"g10302",0,-1,-1,0,-1,"g10302"
"g10303",0,0,0,0,0,"g10303"
"g10304",0,0,0,0,0,"g10304"
"g10305",0,0,1,0,1,"g10305"
"g10306",0,0,-1,-1,0,"g10306"
"g10307",0,0,0,0,0,"g10307"
"g10308",0,0,0,0,0,"g10308"
"g10309",0,0,0,0,-1,"g10309"
"g1031",0,0,0,0,0,"g1031"
"g10313",0,0,0,0,0,"g10313"
"g10315",0,0,0,0,0,"g10315"
"g10317",0,0,0,0,0,"g10317"
"g10318",0,0,0,0,0,"g10318"
"g10319",0,1,1,0,1,"g10319"
"g1032",0,0,0,0,0,"g1032"
"g10320",0,0,0,0,0,"g10320"
"g10321",0,0,0,0,0,"g10321"
"g10323",0,0,0,0,0,"g10323"
"g10324",0,0,0,0,0,"g10324"
"g10325",0,1,1,0,1,"g10325"
"g10326",0,0,0,0,0,"g10326"
"g10327",0,0,0,0,0,"g10327"
"g10328",0,0,0,0,0,"g10328"
"g10329",0,0,0,0,0,"g10329"
"g1033",0,0,0,0,0,"g1033"
"g10330",0,0,0,0,0,"g10330"
"g10331",0,0,0,0,0,"g10331"
"g10334",0,0,0,0,0,"g10334"
"g10336",0,0,0,0,0,"g10336"
"g10337",0,1,1,0,1,"g10337"
"g10338",0,0,0,0,0,"g10338"
"g10339",0,0,0,0,0,"g10339"
"g1034",0,0,0,0,0,"g1034"
"g10340",0,0,0,0,0,"g10340"
"g10341",0,0,0,0,0,"g10341"
"g10342",0,0,0,0,0,"g10342"
"g10343",0,0,0,0,0,"g10343"
"g10344",0,0,1,0,1,"g10344"
"g10345",0,0,0,0,0,"g10345"
"g10346",0,0,0,0,0,"g10346"
"g10347",0,0,0,0,0,"g10347"
"g10348",0,0,0,0,0,"g10348"
"g10349",0,0,0,0,0,"g10349"
"g1035",0,0,0,0,0,"g1035"
"g10350",-1,0,-1,0,0,"g10350"
"g10351",0,0,0,0,0,"g10351"
"g10352",0,0,0,0,0,"g10352"
"g10353",0,1,0,0,1,"g10353"
"g10354",0,0,0,0,0,"g10354"
"g10355",0,0,0,0,0,"g10355"
"g10356",0,0,0,0,0,"g10356"
"g10359",0,0,0,0,0,"g10359"
"g1036",0,0,0,0,0,"g1036"
"g10360",0,1,1,0,1,"g10360"
"g10361",0,0,0,0,0,"g10361"
"g10362",0,0,0,0,0,"g10362"
"g10363",0,0,0,0,0,"g10363"
"g10365",0,0,0,0,0,"g10365"
"g10366",0,-1,0,0,-1,"g10366"
"g10367",0,0,0,0,0,"g10367"
"g10368",0,-1,-1,0,-1,"g10368"
"g10369",0,0,-1,0,0,"g10369"
"g1037",0,0,0,0,0,"g1037"
"g10370",0,-1,-1,0,-1,"g10370"
"g10371",0,0,0,0,0,"g10371"
"g10372",0,0,0,0,0,"g10372"
"g10373",0,0,0,0,0,"g10373"
"g10374",0,0,0,0,0,"g10374"
"g10375",0,-1,-1,0,-1,"g10375"
"g10376",0,-1,-1,0,-1,"g10376"
"g10377",0,0,0,0,0,"g10377"
"g10378",0,-1,-1,0,-1,"g10378"
"g10379",0,0,0,0,0,"g10379"
"g1038",0,0,0,0,0,"g1038"
"g10380",0,0,0,0,0,"g10380"
"g10381",0,0,0,0,0,"g10381"
"g10382",0,0,0,0,0,"g10382"
"g10383",0,1,0,0,0,"g10383"
"g10384",0,-1,0,0,-1,"g10384"
"g10385",0,-1,0,0,0,"g10385"
"g10386",0,0,0,0,0,"g10386"
"g10389",0,0,0,0,0,"g10389"
"g1039",0,0,0,0,0,"g1039"
"g10390",0,0,0,0,0,"g10390"
"g10391",0,0,0,0,0,"g10391"
"g10398",0,0,0,0,0,"g10398"
"g10399",0,0,0,0,0,"g10399"
"g104",0,0,0,0,0,"g104"
"g1040",0,1,0,0,0,"g1040"
"g10400",0,0,0,0,0,"g10400"
"g10408",0,0,0,0,0,"g10408"
"g10409",0,0,0,0,0,"g10409"
"g1041",0,0,0,0,0,"g1041"
"g10411",0,0,0,0,0,"g10411"
"g10412",0,0,0,0,0,"g10412"
"g10413",0,0,0,0,0,"g10413"
"g10414",0,0,0,0,0,"g10414"
"g10417",0,0,0,0,0,"g10417"
"g1042",0,0,0,0,0,"g1042"
"g10420",0,0,0,0,0,"g10420"
"g10421",0,0,0,0,0,"g10421"
"g10422",0,0,0,0,-1,"g10422"
"g10423",0,0,0,0,0,"g10423"
"g10424",0,0,0,0,0,"g10424"
"g1043",0,0,0,0,0,"g1043"
"g10437",0,0,0,0,0,"g10437"
"g10438",0,-1,-1,0,-1,"g10438"
"g1044",0,0,0,0,0,"g1044"
"g10440",0,0,0,0,0,"g10440"
"g10441",0,0,0,0,0,"g10441"
"g10442",0,0,0,0,0,"g10442"
"g10443",0,0,0,0,1,"g10443"
"g10444",0,0,0,0,0,"g10444"
"g1045",0,0,0,0,0,"g1045"
"g10450",-1,0,0,0,1,"g10450"
"g10451",-1,0,0,0,1,"g10451"
"g10452",0,0,0,0,1,"g10452"
"g10453",0,0,0,0,1,"g10453"
"g10454",-1,0,0,0,1,"g10454"
"g10455",-1,0,0,0,1,"g10455"
"g10456",0,0,0,0,0,"g10456"
"g10458",0,-1,0,0,-1,"g10458"
"g10459",0,-1,0,0,0,"g10459"
"g1046",0,0,0,0,0,"g1046"
"g10460",0,-1,0,0,-1,"g10460"
"g10461",0,0,0,0,0,"g10461"
"g10462",0,0,0,0,0,"g10462"
"g10463",0,0,0,0,0,"g10463"
"g10464",0,0,0,0,0,"g10464"
"g10466",0,1,1,0,1,"g10466"
