"","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale","gene"
"g14301",0,0,0,0,0,"g14301"
"g14302",0,0,0,0,0,"g14302"
"g14303",0,0,0,0,0,"g14303"
"g14304",0,0,0,0,0,"g14304"
"g14305",0,0,0,0,0,"g14305"
"g14306",0,0,0,0,0,"g14306"
"g14307",0,0,0,0,0,"g14307"
"g14309",0,0,0,0,0,"g14309"
"g14313",0,-1,-1,0,-1,"g14313"
"g14314",0,-1,0,0,0,"g14314"
"g14315",0,0,0,0,0,"g14315"
"g14316",0,1,0,0,0,"g14316"
"g14319",0,0,0,0,0,"g14319"
"g14320",0,0,0,0,0,"g14320"
"g14321",0,-1,-1,0,-1,"g14321"
"g14322",0,0,0,0,0,"g14322"
"g14323",0,-1,0,0,0,"g14323"
"g14324",0,-1,-1,0,-1,"g14324"
"g14325",0,-1,-1,0,-1,"g14325"
"g14326",0,0,-1,0,-1,"g14326"
"g14327",0,0,0,0,-1,"g14327"
"g14328",0,-1,-1,0,-1,"g14328"
"g14329",0,-1,-1,0,0,"g14329"
"g14330",0,0,0,0,0,"g14330"
"g14331",0,-1,-1,0,-1,"g14331"
"g14332",0,0,0,0,0,"g14332"
"g14333",0,0,0,0,0,"g14333"
"g14335",0,0,0,0,0,"g14335"
"g14336",0,0,0,0,0,"g14336"
"g14338",0,-1,-1,0,-1,"g14338"
"g1434",0,0,0,0,0,"g1434"
"g14341",0,0,0,0,0,"g14341"
"g14342",0,-1,-1,0,-1,"g14342"
"g14345",0,0,0,0,0,"g14345"
"g14346",0,0,0,0,0,"g14346"
"g14347",0,0,0,0,0,"g14347"
"g14348",0,0,0,0,0,"g14348"
"g14349",0,0,0,0,0,"g14349"
"g1435",0,0,0,0,0,"g1435"
"g14350",0,0,0,0,0,"g14350"
"g14351",0,0,0,0,0,"g14351"
"g14352",0,0,0,0,0,"g14352"
"g14353",0,1,1,0,1,"g14353"
"g14354",0,1,1,0,1,"g14354"
"g14355",0,1,1,0,1,"g14355"
"g14356",0,1,1,0,1,"g14356"
"g14357",0,0,0,0,0,"g14357"
"g14358",0,1,1,0,1,"g14358"
"g14359",0,1,0,0,0,"g14359"
"g1436",0,0,0,0,0,"g1436"
"g14360",0,1,1,0,1,"g14360"
"g14361",0,0,0,0,0,"g14361"
"g14362",0,0,-1,0,0,"g14362"
"g14363",0,0,0,0,0,"g14363"
"g14367",0,0,0,0,0,"g14367"
"g14369",0,-1,0,0,0,"g14369"
"g1437",0,0,0,0,0,"g1437"
"g14370",0,-1,-1,0,-1,"g14370"
"g14371",0,0,0,0,0,"g14371"
"g14372",0,0,0,0,0,"g14372"
"g14373",0,0,-1,0,0,"g14373"
"g14374",0,1,1,0,1,"g14374"
"g14375",0,-1,-1,0,-1,"g14375"
"g14376",0,0,0,0,0,"g14376"
"g14377",0,1,1,0,1,"g14377"
"g14378",0,0,0,0,0,"g14378"
"g14379",0,0,0,0,0,"g14379"
"g1438",-1,0,-1,-1,0,"g1438"
"g14380",0,0,0,0,0,"g14380"
"g14381",0,0,0,0,0,"g14381"
"g14382",0,1,1,0,1,"g14382"
"g14383",0,0,0,0,0,"g14383"
"g14384",0,1,1,0,1,"g14384"
"g14385",0,0,0,0,0,"g14385"
"g14386",0,1,1,0,1,"g14386"
"g14387",0,0,0,0,0,"g14387"
"g14388",0,1,0,0,0,"g14388"
"g14389",0,1,0,0,0,"g14389"
"g1439",0,0,0,0,0,"g1439"
"g14390",0,0,0,0,0,"g14390"
"g14391",0,0,0,0,0,"g14391"
"g14392",0,-1,-1,0,-1,"g14392"
"g14393",0,0,0,0,0,"g14393"
"g14394",0,0,0,0,0,"g14394"
"g14395",0,0,0,0,0,"g14395"
"g14396",0,0,0,0,0,"g14396"
"g14397",0,0,0,0,0,"g14397"
"g14398",0,0,0,0,0,"g14398"
"g14399",0,0,0,0,0,"g14399"
"g144",0,0,-1,0,-1,"g144"
"g1440",0,-1,0,0,-1,"g1440"
"g14400",0,0,0,0,0,"g14400"
"g14401",0,0,0,0,0,"g14401"
"g14402",0,0,0,0,0,"g14402"
"g14403",0,0,0,0,-1,"g14403"
"g14404",0,-1,-1,0,-1,"g14404"
"g14405",0,-1,-1,0,-1,"g14405"
"g14406",0,0,0,0,0,"g14406"
"g14407",0,0,0,0,0,"g14407"
"g14408",0,0,0,0,0,"g14408"
"g1441",0,1,1,0,1,"g1441"
"g14411",0,0,0,0,0,"g14411"
"g14412",0,0,0,0,0,"g14412"
"g14413",0,0,0,0,0,"g14413"
"g14416",0,0,0,0,0,"g14416"
"g14418",0,0,0,0,0,"g14418"
"g14419",0,0,0,0,0,"g14419"
"g1442",0,1,1,0,1,"g1442"
"g14424",0,0,0,0,0,"g14424"
"g14433",1,1,1,0,1,"g14433"
"g14435",0,0,0,0,0,"g14435"
"g14439",0,0,0,0,0,"g14439"
"g1444",0,0,0,0,0,"g1444"
"g14441",0,0,0,0,0,"g14441"
"g14442",0,0,0,0,0,"g14442"
"g14444",0,0,0,0,0,"g14444"
"g14447",0,-1,0,0,0,"g14447"
"g1445",0,0,0,0,0,"g1445"
"g14459",0,-1,0,0,0,"g14459"
"g14460",0,0,0,0,0,"g14460"
"g14463",0,-1,-1,0,-1,"g14463"
"g14464",0,0,0,0,0,"g14464"
"g14465",0,0,0,0,0,"g14465"
"g14466",0,0,0,0,0,"g14466"
"g14467",0,0,0,0,0,"g14467"
"g14468",0,0,-1,0,0,"g14468"
"g14469",0,0,0,0,0,"g14469"
"g1447",0,-1,-1,0,-1,"g1447"
"g14470",0,-1,-1,0,-1,"g14470"
"g14471",0,-1,-1,0,-1,"g14471"
"g14472",0,1,0,0,0,"g14472"
"g14473",0,0,0,0,0,"g14473"
"g14475",0,0,0,0,0,"g14475"
"g14476",0,0,0,0,0,"g14476"
"g14484",0,0,0,0,0,"g14484"
"g14485",0,0,0,0,0,"g14485"
"g14486",0,0,0,0,0,"g14486"
"g14487",0,0,0,0,0,"g14487"
"g14488",0,-1,0,0,-1,"g14488"
"g14489",0,0,0,0,0,"g14489"
"g1449",0,0,0,0,0,"g1449"
"g14490",0,1,1,-1,1,"g14490"
"g14491",0,0,0,0,0,"g14491"
"g14492",0,0,0,0,0,"g14492"
"g14493",0,-1,-1,0,-1,"g14493"
"g14494",0,-1,-1,0,-1,"g14494"
"g14495",0,0,0,0,0,"g14495"
"g14496",0,0,0,0,0,"g14496"
"g14497",0,0,0,0,0,"g14497"
"g14498",0,0,0,0,0,"g14498"
"g14499",0,0,0,0,0,"g14499"
"g145",0,0,0,0,-1,"g145"
"g14500",0,0,0,0,0,"g14500"
"g14501",0,0,0,0,0,"g14501"
"g14502",0,1,1,0,1,"g14502"
"g14503",0,1,1,0,1,"g14503"
"g14504",0,0,0,0,0,"g14504"
"g14505",0,0,0,0,-1,"g14505"
"g14506",0,0,0,0,0,"g14506"
"g14507",0,0,-1,0,-1,"g14507"
"g14508",0,0,-1,0,-1,"g14508"
"g14509",0,0,0,0,0,"g14509"
"g1451",0,0,0,0,0,"g1451"
"g14510",0,0,0,0,0,"g14510"
"g14511",0,0,0,0,0,"g14511"
"g14512",0,0,0,0,0,"g14512"
"g14513",0,0,0,0,0,"g14513"
"g14514",0,0,0,0,0,"g14514"
"g14515",0,0,0,0,0,"g14515"
"g14516",0,0,0,0,0,"g14516"
"g14517",0,0,-1,0,0,"g14517"
"g14518",0,0,0,0,0,"g14518"
"g14519",0,0,0,0,0,"g14519"
"g14520",0,0,0,0,0,"g14520"
"g14521",0,0,0,0,0,"g14521"
"g14522",0,0,0,0,0,"g14522"
"g14523",0,0,0,0,0,"g14523"
"g14524",0,0,0,0,0,"g14524"
"g14525",0,0,0,0,0,"g14525"
"g14526",0,0,0,0,0,"g14526"
"g14527",0,0,0,0,0,"g14527"
"g14528",0,0,0,0,0,"g14528"
"g14529",0,0,0,0,0,"g14529"
"g14530",0,0,0,0,0,"g14530"
"g14531",0,0,0,0,0,"g14531"
"g14532",0,0,0,0,0,"g14532"
"g14533",0,0,0,0,0,"g14533"
"g14534",0,0,0,0,0,"g14534"
"g14535",0,-1,-1,0,-1,"g14535"
"g14536",0,0,0,0,-1,"g14536"
"g14537",0,0,0,0,0,"g14537"
"g14538",0,-1,-1,0,-1,"g14538"
"g14539",0,0,0,0,0,"g14539"
"g1454",0,0,0,0,0,"g1454"
"g14540",0,0,0,0,0,"g14540"
"g14541",0,0,0,0,0,"g14541"
"g14542",0,0,0,0,0,"g14542"
"g14543",0,0,0,0,0,"g14543"
"g14544",0,0,0,0,0,"g14544"
"g14545",0,0,0,0,-1,"g14545"
"g14546",0,0,1,0,0,"g14546"
"g14547",0,-1,-1,0,-1,"g14547"
"g14548",0,0,0,0,0,"g14548"
"g14549",0,0,0,0,0,"g14549"
"g1455",0,0,0,0,0,"g1455"
"g14550",0,-1,-1,0,-1,"g14550"
"g14551",0,0,0,0,0,"g14551"
"g14553",0,0,0,0,0,"g14553"
"g14556",0,1,1,0,1,"g14556"
"g14557",0,0,0,0,0,"g14557"
"g14558",0,0,0,0,0,"g14558"
"g14559",0,0,0,0,0,"g14559"
"g1456",0,0,0,0,0,"g1456"
"g14560",0,0,0,0,0,"g14560"
"g14561",0,0,0,0,0,"g14561"
"g14562",0,0,0,0,0,"g14562"
"g14563",0,0,0,0,0,"g14563"
"g14564",0,1,1,0,1,"g14564"
"g14566",0,0,0,0,0,"g14566"
"g14567",0,0,0,0,0,"g14567"
"g14568",0,0,0,0,0,"g14568"
"g1457",0,1,1,0,1,"g1457"
"g14571",0,0,0,0,0,"g14571"
"g14574",1,0,1,0,0,"g14574"
"g14575",0,0,0,0,0,"g14575"
"g14576",0,0,0,0,0,"g14576"
"g14577",0,0,0,0,0,"g14577"
"g14578",0,0,0,0,0,"g14578"
"g14579",0,0,0,0,0,"g14579"
"g1458",0,0,0,0,0,"g1458"
"g14580",0,0,0,0,0,"g14580"
"g14581",0,0,0,0,0,"g14581"
"g14582",0,0,0,0,0,"g14582"
"g14583",0,0,0,0,0,"g14583"
"g14584",0,0,0,0,0,"g14584"
"g14585",0,0,0,0,0,"g14585"
"g14586",0,1,1,0,0,"g14586"
"g14589",0,0,0,0,0,"g14589"
"g1459",0,0,1,0,0,"g1459"
"g14590",0,0,0,0,0,"g14590"
"g14593",0,0,0,0,0,"g14593"
"g14594",0,0,0,0,0,"g14594"
"g14595",0,0,0,0,0,"g14595"
"g14596",0,0,0,0,0,"g14596"
"g14597",0,0,0,0,0,"g14597"
"g14598",0,0,0,0,0,"g14598"
"g14599",0,1,1,0,1,"g14599"
"g146",0,0,0,0,-1,"g146"
"g1460",0,0,0,0,0,"g1460"
"g14600",0,0,0,0,0,"g14600"
"g14601",0,0,0,0,0,"g14601"
"g14602",0,0,0,0,0,"g14602"
"g14603",0,0,0,0,0,"g14603"
"g14604",0,0,0,0,0,"g14604"
"g14605",0,0,0,0,0,"g14605"
"g14606",0,1,1,0,1,"g14606"
"g14607",0,0,0,0,0,"g14607"
"g14608",0,0,0,0,0,"g14608"
"g14609",0,0,0,0,0,"g14609"
"g1461",0,0,0,0,0,"g1461"
"g14610",0,0,0,0,0,"g14610"
"g14611",0,0,0,0,1,"g14611"
"g14612",0,0,0,0,0,"g14612"
"g14613",0,0,0,0,0,"g14613"
"g14614",0,0,0,0,0,"g14614"
"g14615",0,0,0,0,0,"g14615"
"g14616",0,0,0,0,0,"g14616"
"g14617",0,0,0,0,0,"g14617"
"g14618",0,0,0,0,0,"g14618"
"g14619",0,0,0,0,0,"g14619"
"g1462",0,1,1,0,1,"g1462"
"g14620",0,0,0,0,0,"g14620"
"g14621",0,0,0,0,0,"g14621"
"g14622",0,0,0,0,0,"g14622"
"g14625",0,0,0,0,0,"g14625"
"g14626",0,0,0,0,0,"g14626"
"g14627",0,0,0,0,0,"g14627"
"g14628",0,0,0,0,0,"g14628"
"g14629",0,0,0,0,0,"g14629"
"g1463",0,0,0,0,0,"g1463"
"g14631",0,1,1,0,0,"g14631"
"g14635",0,0,0,0,0,"g14635"
"g14637",0,0,0,0,0,"g14637"
"g14638",0,0,0,0,0,"g14638"
"g14639",0,0,0,0,0,"g14639"
"g1464",0,0,0,0,0,"g1464"
"g14640",0,0,0,0,0,"g14640"
"g14641",0,-1,0,0,0,"g14641"
"g14642",0,0,1,0,1,"g14642"
"g14643",0,0,0,0,1,"g14643"
"g14644",0,0,0,0,0,"g14644"
"g14645",0,0,0,0,0,"g14645"
"g14646",0,0,0,0,0,"g14646"
"g14647",0,0,0,0,0,"g14647"
"g14648",0,0,0,0,0,"g14648"
"g14649",0,0,0,0,0,"g14649"
"g1465",0,0,0,0,0,"g1465"
"g14650",0,0,0,0,0,"g14650"
"g14651",0,0,0,0,0,"g14651"
"g14652",0,1,1,0,0,"g14652"
"g14653",0,1,1,0,1,"g14653"
"g14654",0,0,0,0,0,"g14654"
"g14656",0,1,1,0,1,"g14656"
"g14657",1,0,1,0,0,"g14657"
"g14658",1,0,1,1,0,"g14658"
"g1466",0,0,0,0,0,"g1466"
"g14662",0,-1,-1,0,-1,"g14662"
"g14663",0,0,0,0,0,"g14663"
"g14664",0,0,0,0,0,"g14664"
"g14665",0,0,0,0,0,"g14665"
"g14666",0,0,0,0,0,"g14666"
"g14667",0,0,0,0,0,"g14667"
"g14668",0,0,0,0,0,"g14668"
"g14669",0,-1,-1,0,-1,"g14669"
"g1467",0,1,0,0,1,"g1467"
"g14670",0,0,0,0,1,"g14670"
"g14671",0,0,0,0,0,"g14671"
"g14672",0,0,0,0,0,"g14672"
"g14673",0,0,0,0,0,"g14673"
"g14676",0,0,0,0,0,"g14676"
"g14677",0,0,-1,0,-1,"g14677"
"g14678",0,0,0,0,0,"g14678"
"g1468",0,0,0,0,0,"g1468"
"g14680",0,0,0,0,0,"g14680"
"g14681",0,0,0,0,0,"g14681"
"g14682",0,0,0,0,0,"g14682"
"g14683",0,0,0,0,0,"g14683"
"g14684",0,0,0,0,0,"g14684"
"g14685",0,0,0,0,0,"g14685"
"g14686",0,0,0,0,0,"g14686"
"g14687",0,0,0,0,0,"g14687"
"g14688",0,0,0,0,1,"g14688"
"g14689",0,0,0,0,-1,"g14689"
"g1469",0,0,0,0,0,"g1469"
"g14690",0,0,0,0,0,"g14690"
"g14691",0,0,0,0,0,"g14691"
"g14692",0,0,0,0,1,"g14692"
"g14693",0,0,0,0,0,"g14693"
"g14694",0,0,0,0,0,"g14694"
"g14695",0,0,0,0,0,"g14695"
"g14696",0,0,0,0,0,"g14696"
"g14697",0,1,1,0,1,"g14697"
"g147",0,0,0,0,0,"g147"
"g1470",0,1,1,0,1,"g1470"
"g14701",0,0,0,0,0,"g14701"
"g14704",0,0,0,0,0,"g14704"
"g14705",0,1,1,0,1,"g14705"
"g14706",0,1,1,0,1,"g14706"
"g14707",0,1,0,0,0,"g14707"
"g14708",0,0,0,0,0,"g14708"
"g14709",0,0,0,0,0,"g14709"
"g1471",0,0,0,0,0,"g1471"
"g14710",0,1,1,0,1,"g14710"
"g14711",0,0,0,0,0,"g14711"
"g14713",0,-1,-1,0,-1,"g14713"
"g14714",0,0,0,0,0,"g14714"
"g14715",0,0,0,0,0,"g14715"
"g14717",0,0,0,0,0,"g14717"
"g14718",0,0,0,0,0,"g14718"
"g14719",0,0,0,0,0,"g14719"
"g1472",0,0,0,0,0,"g1472"
"g14720",0,-1,-1,0,-1,"g14720"
"g14721",0,1,1,0,1,"g14721"
"g14722",0,0,0,0,0,"g14722"
"g14723",0,0,0,0,0,"g14723"
"g14724",0,0,0,0,0,"g14724"
"g14725",0,0,0,0,0,"g14725"
"g14726",0,0,0,0,0,"g14726"
"g14727",0,1,1,0,0,"g14727"
"g14728",0,1,0,0,0,"g14728"
"g14729",0,0,0,0,0,"g14729"
"g14730",0,0,0,0,0,"g14730"
"g14732",0,0,0,0,0,"g14732"
"g14733",0,0,0,0,0,"g14733"
"g14734",0,0,1,0,1,"g14734"
"g14735",0,0,0,0,0,"g14735"
"g14736",0,0,0,0,0,"g14736"
"g14737",0,-1,-1,0,-1,"g14737"
"g14739",0,0,0,0,0,"g14739"
"g14742",0,0,0,0,0,"g14742"
"g14743",0,0,0,0,0,"g14743"
"g14744",0,0,0,0,0,"g14744"
"g14745",0,-1,-1,0,-1,"g14745"
"g14746",0,0,0,0,0,"g14746"
"g14749",0,0,0,0,0,"g14749"
"g1475",0,0,0,0,0,"g1475"
"g14750",0,0,0,0,0,"g14750"
"g14751",0,0,0,0,0,"g14751"
"g14752",0,0,0,0,0,"g14752"
"g14753",0,-1,0,0,0,"g14753"
"g14754",0,0,0,0,0,"g14754"
"g14755",0,0,0,0,0,"g14755"
"g14756",0,0,0,0,0,"g14756"
"g14757",0,0,0,0,0,"g14757"
"g14758",0,0,0,0,0,"g14758"
"g14759",0,0,0,0,0,"g14759"
"g1476",0,0,0,0,0,"g1476"
"g14760",0,0,0,0,0,"g14760"
"g14761",0,0,0,0,0,"g14761"
"g14762",0,0,0,0,0,"g14762"
"g14763",0,1,0,0,0,"g14763"
"g14764",0,0,0,0,0,"g14764"
"g14768",0,0,0,0,0,"g14768"
"g14770",0,0,0,0,0,"g14770"
"g14771",0,0,0,0,0,"g14771"
"g14774",0,0,0,0,0,"g14774"
"g14779",0,0,0,0,0,"g14779"
"g14780",0,0,0,0,0,"g14780"
"g14781",0,0,0,0,0,"g14781"
"g14782",0,0,0,0,0,"g14782"
"g14783",0,0,0,0,0,"g14783"
"g14785",0,0,0,0,0,"g14785"
"g14787",0,0,-1,0,-1,"g14787"
"g14788",0,0,0,0,0,"g14788"
"g14789",0,0,-1,0,-1,"g14789"
"g1479",0,0,0,0,0,"g1479"
"g14791",0,-1,-1,0,-1,"g14791"
"g14793",0,0,-1,0,-1,"g14793"
"g14794",0,0,0,0,0,"g14794"
"g14795",0,0,0,0,0,"g14795"
"g14796",0,0,0,0,-1,"g14796"
"g14797",0,0,0,0,0,"g14797"
"g14799",0,0,1,0,0,"g14799"
"g148",0,0,0,0,-1,"g148"
"g1480",0,-1,-1,0,-1,"g1480"
"g14800",0,0,0,0,0,"g14800"
"g14803",0,0,0,0,0,"g14803"
"g14804",0,0,0,0,0,"g14804"
"g14805",0,0,0,0,0,"g14805"
"g14806",0,0,0,0,-1,"g14806"
"g14807",0,0,0,0,0,"g14807"
"g14809",0,0,0,0,0,"g14809"
"g1481",0,0,0,0,0,"g1481"
"g14810",0,0,0,0,0,"g14810"
"g14811",0,0,0,0,0,"g14811"
"g14812",0,0,0,0,0,"g14812"
"g14813",0,0,0,0,0,"g14813"
"g14815",0,0,0,0,0,"g14815"
"g14816",0,0,0,0,0,"g14816"
"g14817",0,0,0,0,0,"g14817"
"g14818",0,0,0,0,0,"g14818"
"g1482",0,-1,-1,0,-1,"g1482"
"g14822",0,0,0,0,0,"g14822"
"g14824",0,0,0,0,0,"g14824"
"g14825",0,0,0,0,0,"g14825"
"g14826",0,0,0,0,0,"g14826"
"g14827",0,1,1,0,1,"g14827"
"g14828",0,0,0,0,0,"g14828"
"g14829",0,0,0,0,0,"g14829"
"g1483",0,0,0,0,0,"g1483"
"g14830",0,0,0,0,0,"g14830"
"g14831",0,0,0,0,0,"g14831"
"g14832",0,0,0,0,0,"g14832"
"g14833",0,0,0,0,-1,"g14833"
"g14834",0,-1,-1,0,-1,"g14834"
"g14835",0,0,0,0,0,"g14835"
"g14836",0,1,1,0,1,"g14836"
"g14837",0,-1,-1,0,-1,"g14837"
"g14838",0,0,0,0,1,"g14838"
"g14839",0,1,1,0,1,"g14839"
"g1484",-1,-1,-1,0,0,"g1484"
"g14843",0,0,0,0,0,"g14843"
"g14845",0,0,0,0,0,"g14845"
"g14846",0,-1,0,0,0,"g14846"
"g14847",0,0,0,0,0,"g14847"
"g14849",0,0,0,0,0,"g14849"
"g1485",0,0,0,0,0,"g1485"
"g14850",0,0,0,0,0,"g14850"
"g14853",0,0,0,0,0,"g14853"
"g14854",0,0,0,0,0,"g14854"
"g14855",0,0,0,0,0,"g14855"
"g14856",0,0,0,0,0,"g14856"
"g14857",0,0,0,0,0,"g14857"
"g14858",0,-1,0,0,-1,"g14858"
"g14859",0,0,0,0,0,"g14859"
"g1486",0,1,1,0,1,"g1486"
"g14860",0,0,0,0,0,"g14860"
"g14861",1,1,1,0,0,"g14861"
"g14866",0,0,0,0,0,"g14866"
"g14868",0,0,0,0,0,"g14868"
"g14869",0,0,0,0,0,"g14869"
"g1487",0,0,0,0,0,"g1487"
"g14870",0,0,0,0,0,"g14870"
"g14871",0,0,0,0,0,"g14871"
"g14872",0,0,0,0,0,"g14872"
"g14873",0,0,0,0,0,"g14873"
"g14874",0,0,0,0,0,"g14874"
"g14875",0,0,0,0,0,"g14875"
"g14876",0,0,-1,-1,-1,"g14876"
"g14877",0,0,-1,0,-1,"g14877"
"g14878",0,0,0,0,0,"g14878"
"g14879",0,0,0,0,0,"g14879"
"g1488",0,0,0,0,0,"g1488"
"g14880",0,0,0,0,0,"g14880"
"g14881",0,0,0,0,0,"g14881"
"g14882",0,0,0,0,0,"g14882"
"g14883",0,0,1,0,0,"g14883"
"g14884",0,0,0,0,0,"g14884"
"g14885",0,0,0,0,0,"g14885"
"g14886",0,0,0,0,0,"g14886"
"g14887",0,0,0,0,0,"g14887"
"g14888",0,0,0,0,0,"g14888"
"g14889",0,0,0,0,0,"g14889"
"g1489",0,0,-1,0,-1,"g1489"
"g14890",0,0,0,0,0,"g14890"
"g14891",0,0,0,0,0,"g14891"
"g14892",0,0,0,0,0,"g14892"
"g14893",0,0,0,0,0,"g14893"
"g14894",0,0,0,0,0,"g14894"
"g14895",0,0,0,0,0,"g14895"
"g14896",0,-1,-1,0,-1,"g14896"
"g14897",0,0,-1,0,-1,"g14897"
"g14898",0,0,0,0,0,"g14898"
"g14899",0,0,0,0,0,"g14899"
"g149",0,-1,0,0,-1,"g149"
"g1490",0,0,0,0,0,"g1490"
"g14900",0,0,0,0,0,"g14900"
"g14901",0,0,0,0,0,"g14901"
"g14902",0,0,0,0,0,"g14902"
"g14904",0,-1,-1,0,-1,"g14904"
"g14905",0,0,0,0,0,"g14905"
"g14906",0,0,0,0,0,"g14906"
"g14908",0,0,0,0,0,"g14908"
"g14909",0,-1,0,0,-1,"g14909"
"g1491",0,0,0,0,0,"g1491"
"g14910",0,-1,-1,0,-1,"g14910"
"g14913",0,0,0,0,0,"g14913"
"g14914",0,1,1,0,1,"g14914"
"g14919",0,0,0,0,0,"g14919"
"g14928",0,0,0,0,0,"g14928"
"g1493",0,0,0,0,0,"g1493"
"g14930",0,0,1,0,0,"g14930"
"g14931",0,0,-1,0,-1,"g14931"
"g14932",0,0,0,0,0,"g14932"
"g14933",0,0,0,0,0,"g14933"
"g14934",0,0,0,0,0,"g14934"
"g14935",0,0,0,0,-1,"g14935"
"g14936",0,0,0,0,0,"g14936"
"g14937",0,1,1,0,0,"g14937"
"g14938",0,0,0,0,0,"g14938"
"g14939",0,-1,-1,0,-1,"g14939"
"g1494",0,0,0,0,0,"g1494"
"g14940",0,-1,-1,0,-1,"g14940"
"g14941",0,-1,-1,0,-1,"g14941"
"g14942",0,0,0,0,0,"g14942"
"g14943",0,0,0,0,0,"g14943"
"g14944",0,0,0,0,0,"g14944"
"g14945",0,0,0,0,0,"g14945"
"g14946",0,0,0,0,-1,"g14946"
"g14947",0,0,0,0,0,"g14947"
"g14948",0,-1,-1,0,0,"g14948"
"g14949",0,-1,-1,0,-1,"g14949"
"g1495",0,0,0,0,0,"g1495"
"g14950",0,-1,-1,0,-1,"g14950"
"g14951",0,0,0,0,0,"g14951"
"g14952",0,0,0,0,0,"g14952"
"g14953",0,1,1,0,0,"g14953"
"g14954",0,0,0,0,0,"g14954"
"g14955",0,0,0,0,0,"g14955"
"g14956",0,0,0,0,0,"g14956"
"g14957",0,0,0,0,0,"g14957"
"g14958",0,0,0,0,0,"g14958"
"g14959",0,-1,-1,0,-1,"g14959"
"g1496",0,0,0,0,0,"g1496"
"g14960",0,0,0,0,0,"g14960"
"g14961",0,0,0,0,0,"g14961"
"g14962",0,-1,-1,0,-1,"g14962"
"g14963",0,0,0,0,0,"g14963"
"g14964",0,-1,-1,0,-1,"g14964"
"g14965",0,-1,0,0,-1,"g14965"
"g14966",0,-1,0,0,-1,"g14966"
"g14967",0,0,0,0,0,"g14967"
"g14968",0,-1,-1,0,-1,"g14968"
"g14969",0,0,0,0,0,"g14969"
"g1497",0,0,0,0,-1,"g1497"
"g14970",0,0,0,0,0,"g14970"
"g14971",0,0,0,0,0,"g14971"
"g14973",0,0,0,0,0,"g14973"
"g14974",0,-1,0,0,-1,"g14974"
"g14975",0,0,0,0,0,"g14975"
"g14977",0,0,0,0,0,"g14977"
"g14978",0,0,0,0,0,"g14978"
"g14979",0,0,0,0,0,"g14979"
"g1498",0,1,1,0,0,"g1498"
"g14980",0,0,0,0,0,"g14980"
"g14981",0,0,0,0,-1,"g14981"
"g14982",0,-1,0,0,-1,"g14982"
"g14983",0,0,0,0,0,"g14983"
"g14984",0,0,0,0,0,"g14984"
"g14985",0,0,0,0,0,"g14985"
"g14988",0,0,0,0,0,"g14988"
"g1499",0,0,0,0,1,"g1499"
"g14991",0,0,0,0,0,"g14991"
"g14997",0,0,0,0,0,"g14997"
"g14998",0,0,0,0,0,"g14998"
"g14999",0,0,0,0,0,"g14999"
"g15",0,0,0,0,0,"g15"
"g150",0,0,0,0,0,"g150"
"g15000",0,0,0,0,0,"g15000"
"g15001",0,0,0,0,0,"g15001"
"g15002",0,0,0,0,0,"g15002"
"g15003",0,0,0,0,0,"g15003"
"g15004",0,0,0,0,0,"g15004"
"g15005",0,0,0,0,0,"g15005"
"g15006",0,0,0,0,0,"g15006"
"g15007",0,0,-1,0,0,"g15007"
"g15009",0,0,0,0,0,"g15009"
"g1501",0,0,0,0,0,"g1501"
"g15011",0,0,0,0,0,"g15011"
"g15012",0,0,0,0,0,"g15012"
"g15013",0,0,0,0,0,"g15013"
"g15014",0,1,1,0,1,"g15014"
"g15015",0,0,0,0,0,"g15015"
"g15016",0,0,0,0,0,"g15016"
"g15017",0,0,0,0,0,"g15017"
"g15018",0,0,0,0,0,"g15018"
"g15019",0,0,0,0,0,"g15019"
"g1502",0,0,0,0,0,"g1502"
"g15020",0,0,0,0,0,"g15020"
"g15021",0,0,0,0,0,"g15021"
"g15027",0,0,0,0,0,"g15027"
"g15035",0,1,1,0,1,"g15035"
"g15036",0,0,0,0,0,"g15036"
"g15037",0,0,0,0,0,"g15037"
"g15038",0,0,0,0,0,"g15038"
"g15039",0,0,0,0,0,"g15039"
"g1504",0,0,0,0,0,"g1504"
"g15040",0,0,0,0,0,"g15040"
"g15041",0,0,0,0,0,"g15041"
"g15042",0,0,0,0,0,"g15042"
"g15043",0,0,0,0,0,"g15043"
"g15044",0,0,0,0,0,"g15044"
"g15045",0,0,0,0,0,"g15045"
"g15046",0,0,0,0,0,"g15046"
"g15047",0,0,0,0,0,"g15047"
"g15048",0,0,0,0,0,"g15048"
"g15049",0,0,0,0,0,"g15049"
"g15050",0,1,1,0,1,"g15050"
"g15051",0,0,0,0,0,"g15051"
"g15053",0,0,0,0,0,"g15053"
"g15054",0,0,0,0,0,"g15054"
"g15059",0,0,0,0,0,"g15059"
"g1506",0,0,0,0,0,"g1506"
"g15063",0,1,1,0,1,"g15063"
"g15066",0,0,0,0,0,"g15066"
"g15067",0,0,0,0,0,"g15067"
"g15068",0,0,0,0,0,"g15068"
"g15069",0,0,0,0,0,"g15069"
"g15070",0,0,0,0,0,"g15070"
"g15071",0,0,0,0,0,"g15071"
"g15072",0,0,0,0,0,"g15072"
"g15073",0,0,0,0,0,"g15073"
"g15074",0,0,0,0,0,"g15074"
