GO,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Category
GO:0006259,0.00176721417587354,3.69306818181818,2.83801352054082,9,185,DNA metabolic process,BP
GO:0000723,0.00239375008608649,42.7909604519774,0.0792002077382498,2,5,telomere maintenance,BP
GO:0003678,0.00406236767030091,29.621359223301,0.101432941555305,2,6,DNA helicase activity,MF
