	A	Coef	t	P.value	F	F.p.value	Results	genes
g8387	4.403671	0.09094224	0	1	0.7049659	0.4087142	0	g8387
g8388	5.632365	-0.4876684	0	0.9999974	29.43577	1.069628e-05	0	g8388
g8389	3.605973	0.5411845	0	0.9999999	66.52836	1.15639e-08	0	g8389
g839	3.031777	-0.5917804	0	0.9999658	46.89395	2.747614e-07	0	g839
g8390	-0.8830339	-0.4937895	0	0.9708391	3.729364	0.06434685	0	g8390
g8391	4.030812	2.316483	8.305922	4.08397e-09	213.601	4.103636e-14	1	g8391
g8392	6.143883	-0.1720777	0	1	8.14843	0.008315858	0	g8392
g8393	6.666531	0.582999	0	0.9538115	5.964373	0.02164613	0	g8393
g8395	5.472982	0.1584675	0	1	9.188575	0.005425737	0	g8395
g8396	5.714525	-0.1542507	0	1	10.11141	0.003764147	0	g8396
g8397	4.108047	-0.05300571	0	1	0.3254438	0.5732133	0	g8397
g8398	1.567092	1.315831	1.615144	0.05912796	45.28061	3.702007e-07	0	g8398
g8399	3.156561	-0.1454351	0	1	1.547978	0.224447	0	g8399
g84	3.881665	-1.099568	-0.3651012	0.3589829	16.25658	0.0004250183	0	g84
g840	-0.02413962	-0.8795237	0	0.7354672	21.68773	8.168114e-05	0	g840
g8402	3.177828	1.512531	1.541504	0.06759157	20.69466	0.000108702	0	g8402
g8403	4.303007	1.08723	0.4735998	0.3198534	34.84485	3.066736e-06	0	g8403
g8404	2.786352	2.572697	9.147707	6.088218e-10	223.9296	2.355995e-14	1	g8404
g8405	-0.1616477	1.106078	0.1948545	0.4238302	4.128054	0.05243078	0	g8405
g8406	2.597424	2.327112	4.51393	5.966146e-05	62.65116	2.039715e-08	1	g8406
g8407	1.958999	1.190559	0.9707586	0.1702715	36.78464	2.014876e-06	0	g8407
g8408	2.330026	1.421585	2.683999	0.006221162	81.9107	1.50988e-09	1	g8408
g8413	6.983053	-0.03682764	0	1	0.6153785	0.4398032	0	g8413
g8414	-1.099644	0.4849089	0	0.8092037	0.08678039	0.7706316	0	g8414
g8415	0.9926844	0.5095103	0	0.830648	0.9971895	0.3271227	0	g8415
g8417	-0.9311988	0.06452079	0	0.999709	0.06866393	0.7953407	0	g8417
g8418	5.542967	-0.027416	0	1	0.3145618	0.5796583	0	g8418
g8421	1.165476	1.480701	0.5799086	0.2864447	3.190831	0.08562784	0	g8421
g8423	2.106807	-1.506235	-0.2719006	0.4888128	0.6544878	0.4257965	0	g8423
g8424	5.843337	0.01560104	0	0.9963253	0.0009523913	0.9756143	0	g8424
g8425	5.244345	0.1445858	0	1	9.342423	0.005100654	0	g8425
g8426	4.106756	-0.4438187	0	1	41.5717	7.549045e-07	0	g8426
g8427	5.437654	-0.489629	0	1	83.6686	1.2194e-09	0	g8427
g8428	6.542332	-0.1131448	0	1	7.114388	0.01293682	0	g8428
g8429	5.908007	0.5487241	0	0.9999996	60.99181	2.620711e-08	0	g8429
g8430	4.714309	0.09070746	0	1	2.611162	0.1180897	0	g8430
g8431	6.581875	0.2204028	0	1	22.88169	5.841509e-05	0	g8431
g8432	7.425022	0.3981342	0	1	69.63503	7.465825e-09	0	g8432
g8433	7.955871	0.3111045	0	1	50.80408	1.370713e-07	0	g8433
g8434	4.314362	1.222995	1.379811	0.08965189	57.26619	4.685108e-08	0	g8434
g8435	5.740607	-0.3745556	0	1	124.0831	1.93895e-11	0	g8435
g8436	6.574624	-0.0685152	0	1	0.593342	0.448018	0	g8436
g8437	7.876921	0.1328321	0	1	5.817952	0.02315766	0	g8437
g8438	4.693895	0.1233818	0	0.9997855	0.3182967	0.5774298	0	g8438
g8439	3.432687	-2.379976	-9.819069	1.426196e-10	286.7759	1.235737e-15	-1	g8439
g8440	7.845253	-0.9190201	0	0.9222441	275.4526	2.005974e-15	0	g8440
g8441	1.11645	-0.3180353	0	0.9999811	5.325955	0.02915712	0	g8441
g8442	4.375741	-0.1434126	0	1	3.569617	0.06995759	0	g8442
g8443	4.564814	-0.2344203	0	1	17.35478	0.0002990336	0	g8443
g8444	6.244447	0.4802695	0	1	64.94129	1.454445e-08	0	g8444
g8445	6.023729	0.1883985	0	1	7.034942	0.01339405	0	g8445
g8446	1.531374	1.754047	3.742768	0.0004511348	75.80046	3.264658e-09	1	g8446
g8447	2.264223	0.2565038	0	0.9999999	5.721535	0.02421647	0	g8447
g8448	5.767733	0.2475323	0	1	37.83926	1.612505e-06	0	g8448
g8449	1.875889	0.6590404	0	0.997097	33.70295	3.952859e-06	0	g8449
g8450	2.884704	0.02460179	0	0.9976926	0.004034068	0.9498389	0	g8450
g8451	6.297423	-0.4037723	0	1	99.09715	2.142287e-10	0	g8451
g8452	1.39479	-6.649763	-8.224714	4.941267e-09	93.71162	3.830512e-10	-1	g8452
g8453	4.697059	-0.0001486662	0	1	4.72952e-06	0.9982813	0	g8453
g8455	6.154006	0.3245814	0	1	13.16675	0.001210937	0	g8455
g8456	-0.8109651	0.5710747	0	0.938453	4.4997	0.04351665	0	g8456
g8457	4.861188	-0.7334083	0	0.9992859	96.14663	2.935995e-10	0	g8457
g8458	5.828445	0.2561177	0	1	27.4185	1.761563e-05	0	g8458
g8459	3.438705	-0.02687673	0	1	0.08848124	0.768462	0	g8459
g8460	3.713253	0.06930659	0	1	1.324842	0.2601183	0	g8460
g8461	7.954867	0.680917	0	0.9999017	85.18254	1.017247e-09	0	g8461
g8462	5.167571	-0.2322484	0	1	5.308405	0.02940082	0	g8462
g8463	3.368098	0.04648455	0	0.9999585	0.04834087	0.8276794	0	g8463
g8464	6.171492	0.9509064	0	0.7144097	123.4032	2.05856e-11	0	g8464
g8465	3.483037	-1.964122	-5.470856	4.746278e-06	124.2176	1.916183e-11	-1	g8465
g8466	5.492745	-0.3505578	0	1	70.26412	6.84482e-09	0	g8466
g8467	2.288043	-0.4044612	0	0.9999999	24.22555	4.046977e-05	0	g8467
g8468	2.965174	-0.1422672	0	1	4.225684	0.0499056	0	g8468
g8469	7.739973	0.5310381	0	1	80.97673	1.693828e-09	0	g8469
g8470	5.51138	-0.1763652	0	0.9999999	2.232438	0.1470839	0	g8470
g8471	5.247061	-0.7764783	0	0.9996119	174.3395	4.320606e-13	0	g8471
g8472	7.238046	0.05131067	0	1	2.990541	0.09551581	0	g8472
g8473	3.81767	-0.4952859	0	0.9999997	40.67588	9.021032e-07	0	g8473
g8474	2.255694	1.207719	2.074408	0.02399921	145.4683	3.351773e-12	0	g8474
g8478	-0.4561895	-0.4632101	0	0.9981135	7.524941	0.01083096	0	g8478
g8479	-0.5740794	-0.610672	0	0.9802807	11.56154	0.002167455	0	g8479
g8483	3.701619	1.593027	3.193925	0.001817456	73.61166	4.352935e-09	1	g8483
g8484	5.981271	-0.637634	0	1	207.6789	5.702911e-14	0	g8484
g8487	-1.165867	-1.162771	-0.6228124	0.269395	19.79475	0.0001416436	0	g8487
g8488	5.132525	-1.194967	-2.70761	0.005887016	275.3975	2.010797e-15	-1	g8488
g8489	7.268641	-0.4133491	0	0.9997232	7.670789	0.01017575	0	g8489
g849	5.975988	-0.8807653	0	0.9734013	223.6872	2.386245e-14	0	g849
g8490	5.737302	0.3666586	0	0.9999999	16.32576	0.0004155846	0	g8490
g8491	5.590515	-1.433781	-5.917656	1.475902e-06	382.5815	3.697315e-17	-1	g8491
g8492	3.826476	0.5295236	0	0.998184	12.92496	0.001319538	0	g8492
g8493	2.383671	-0.1240213	0	0.9999987	0.7153927	0.4053158	0	g8493
g8494	7.844806	0.2108816	0	1	41.54725	7.585595e-07	0	g8494
g8495	8.003492	-0.3448841	0	1	90.17086	5.695285e-10	0	g8495
g8496	3.614586	-0.2359213	0	1	7.166237	0.01264765	0	g8496
g8497	4.982815	-0.8695406	0	0.919272	92.2345	4.513203e-10	0	g8497
g8498	4.597283	-0.07038881	0	1	3.11354	0.08929748	0	g8498
g8499	5.614155	1.281805	3.192993	0.001821664	210.9324	4.75479e-14	1	g8499
g85	0.9923446	-0.4900337	0	0.9374821	2.317573	0.1398952	0	g85
g850	7.330172	-0.3360044	0	1	36.82352	1.998259e-06	0	g850
g8500	4.358764	0.09001422	0	1	3.911515	0.05856062	0	g8500
g8501	-1.754871	-7.420901	-6.283462	5.78901e-07	52.73747	9.848734e-08	-1	g8501
g8502	5.234435	-0.1853709	0	1	6.097849	0.02036264	0	g8502
g8503	5.950836	-1.282062	-2.56854	0.008126146	136.3021	6.911632e-12	-1	g8503
g8505	4.01238	-0.8068932	0	0.9572772	55.77972	5.951278e-08	0	g8505
g8506	1.325789	0.2943324	0	0.9999975	5.696457	0.02450055	0	g8506
g8509	-0.1675042	-1.335188	-0.6704381	0.2542613	7.132225	0.01283653	0	g8509
